Partlist exported from /home/lars/eagle/wro600/cpu.sch at  1/02/2006 14:13:35 

Part   Value               Device              Package             Description                                                                                                                              
C74                        CPOL-EUE3.5-10      E3,5-10             POLARIZED CAPACITOR, European symbol                                                                                                     
C75                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C76                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C77                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C78                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
C79                        C-EUC1206           C1206               CAPACITOR, European symbol                                                                                                               
CON1                       DIM144              390110-1            AMP connector                                                                                                                            
D1                         D_DO214AC           DO214AC                                                                                                                                                      
D2                         D_DO214AC           DO214AC                                                                                                                                                      
D3     BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D4     BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D5     BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D6     BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D7                         D_DO214AC           DO214AC                                                                                                                                                      
D8                         D_DO214AC           DO214AC                                                                                                                                                      
D9                         D_DO214AC           DO214AC                                                                                                                                                      
D10                        D_DO214AC           DO214AC                                                                                                                                                      
D11                        D_DO214AC           DO214AC                                                                                                                                                      
D12                        D_DO214AC           DO214AC                                                                                                                                                      
D13    BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D14    SM6T                SM6T                SMB                                                                                                                                                          
D15    SM6T                SM6T                SMB                                                                                                                                                          
D16    SM6T                SM6T                SMB                                                                                                                                                          
D17    SM6T                SM6T                SMB                                                                                                                                                          
D18    SM6T                SM6T                SMB                                                                                                                                                          
D19    UPT                 UPT                 UPT                                                                                                                                                          
D20    UPT                 UPT                 UPT                                                                                                                                                          
D21    UPT                 UPT                 UPT                                                                                                                                                          
D22    UPT                 UPT                 UPT                                                                                                                                                          
D23    SM6T                SM6T                SMB                                                                                                                                                          
D24    BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D25    BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D26    BAV199              BAV199              SOT23               DIODE                                                                                                                                    
D27                        ZENER-DIODESOT23    SOT23               Z-Diode                                                                                                                                  
F1                         T_FILTER            T_FILTER                                                                                                                                                     
F2                         T_FILTER            T_FILTER                                                                                                                                                     
F3                         T_FILTER            T_FILTER                                                                                                                                                     
F4                         T_FILTER            T_FILTER                                                                                                                                                     
FP_RX  TPSQPAD1-13         TPSQPAD1-13         P1-13                                                                                                                                                        
FP_TX  TPSQPAD1-13         TPSQPAD1-13         P1-13                                                                                                                                                        
G1     CR2032V             CR2032V             CR2032V             LI BATTERY Varta                                                                                                                         
IC1    LM339D              LM339D              SO14                Low Power Low Offset Voltage Quad Comparators                                                                                            
IC2    74HCT14D            74HCT14D            SO14                Hex schmitt trigger INVERTER                                                                                                             
IC3    DC_DC_NMSC          DC_DC_NMSC          DIL_NMSC_DCDC                                                                                                                                                
IC4    74HCT14D            74HCT14D            SO14                Hex schmitt trigger INVERTER                                                                                                             
IC5    DC_DC_TRACO_1W_DUAL DC_DC_TRACO_1W_DUAL DC_DC_TRACO_1W_DUAL                                                                                                                                          
IC6    24AA64SN            24AA64SN            SO-08               Serial EEPROM                                                                                                                            
IC7                        DC_DC_TRACO         DIL_TRACO_DCDC                                                                                                                                               
IC8    74HCT14D            74HCT14D            SO14                Hex schmitt trigger INVERTER                                                                                                             
IC10   LF347D              LF347D              SO14                OP AMP                                                                                                                                   
IC11   93LC66SN            93LC66SN            SO-08               Serial EPROM                                                                                                                             
IC12   OP747AR             LF347D              SO14                OP AMP                                                                                                                                   
IC13   FT232BM             FT232BM             LQFP32              USB UART                                                                                                                                 
IC14   MAX232A             MAX232A             SO16                                                                                                                                                         
IC15   74HC02D             74HC02D             SO14                Quad 2-input NOR gate                                                                                                                    
IC16   74HCT253D           74HCT253D           SO16                Dual 4-to 1 line data SELECTOR/MULTIPLEXER, 3-state                                                                                      
IC17   LTC1799IS5          LTC1799IS5          TSOT23              Resistor Set Oscillator (1kHz to 33MHz)                                                                                                  
IC18   LTC1799IS5          LTC1799IS5          TSOT23              Resistor Set Oscillator (1kHz to 33MHz)                                                                                                  
IC19   LTC1799IS5          LTC1799IS5          TSOT23              Resistor Set Oscillator (1kHz to 33MHz)                                                                                                  
IC20   DS1307Z             DS1307Z             SO8                                                                                                                                                          
IC21   LTC1799IS5          LTC1799IS5          TSOT23              Resistor Set Oscillator (1kHz to 33MHz)                                                                                                  
IC22   LTC1299             LTC1299             MS8                                                                                                                                                          
IC23   LM4120              LM4120              SOT23-5                                                                                                                                                      
IC24   MAX232A             MAX232A             SO16                                                                                                                                                         
IC30   ATMEGA8_TQFP        ATMEGA8_TQFP        TQFP-32             IC AVR MCU 8K LV 8MHZ IND 32TQFP , Atmel Part number ATMEGA8L-8AI                                                                        
IOU_RX TPSQPAD1-13         TPSQPAD1-13         P1-13                                                                                                                                                        
IOU_TX TPSQPAD1-13         TPSQPAD1-13         P1-13                                                                                                                                                        
J1     JUMPER3             JUMPER3             JUMPER3                                                                                                                                                      
J2     JUMPER3             JUMPER3             JUMPER3                                                                                                                                                      
J3     JUMPER3             JUMPER3             JUMPER3                                                                                                                                                      
JP6                        JP2QE               JP2Q                JUMPER                                                                                                                                   
K1     SNR03024            SNR03024            SNR-V               Slim PCB Relay 1 pole 6 A SCHRACK                                                                                                        
K2     SNR03024            SNR03024            SNR-V               Slim PCB Relay 1 pole 6 A SCHRACK                                                                                                        
K3     TX2SA-4.5V          TX2SA-4.5V          TX2SA               2 AMP. HIGH CAPACITY RELAY NAiSWITH HIGH SURGE VOLTAGE & HIGH BREAKDOWN VOLTAGESource: http://www.mew-europe.com/..  en_ds_61022_0001.pdf
K4     TX2SA-4.5V          TX2SA-4.5V          TX2SA               2 AMP. HIGH CAPACITY RELAY NAiSWITH HIGH SURGE VOLTAGE & HIGH BREAKDOWN VOLTAGESource: http://www.mew-europe.com/..  en_ds_61022_0001.pdf
L1     L1210               L1210               C1210                                                                                                                                                        
L2     L1210               L1210               C1210                                                                                                                                                        
L3     L1210               L1210               C1210                                                                                                                                                        
L4     IND_BLM             IND_BLM             IND_BLM                                                                                                                                                      
L5     IND_BLM             IND_BLM             IND_BLM                                                                                                                                                      
L6     IND_BLM             IND_BLM             IND_BLM                                                                                                                                                      
L7     IND_BLM             IND_BLM             IND_BLM                                                                                                                                                      
L8     IND_BLM             IND_BLM             IND_BLM                                                                                                                                                      
L9     IND_BLM             IND_BLM             IND_BLM                                                                                                                                                      
L10    IND_BLM             IND_BLM             IND_BLM                                                                                                                                                      
L12                        L-EUL5650M          L5650M              INDUCTOR, European symbol                                                                                                                
LED1                       LEDCHIPLED_1206     CHIPLED_1206        LED                                                                                                                                      
LED2                       LEDCHIPLED_1206     CHIPLED_1206        LED                                                                                                                                      
OK1    SFH617G             SFH617G             DIL04B              SIEMENS OPTO COUPLER                                                                                                                     
OK2    SFH617G             SFH617G             DIL04B              SIEMENS OPTO COUPLER                                                                                                                     
OK3    SFH617G             SFH617G             DIL04B              SIEMENS OPTO COUPLER                                                                                                                     
OK4    SFH617G             SFH617G             DIL04B              SIEMENS OPTO COUPLER                                                                                                                     
OK5    SFH617G             SFH617G             DIL04B              SIEMENS OPTO COUPLER                                                                                                                     
OK6    SFH617G             SFH617G             DIL04B              SIEMENS OPTO COUPLER                                                                                                                     
P1                         MODU44              MODU44                                                                                                                                                       
P2                         MODU16              MODU16                                                                                                                                                       
P4                         MODU16              MODU16                                                                                                                                                       
P5                         MODU30              MODU30                                                                                                                                                       
Q1     BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q2     BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q3     BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q4     BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q5     BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q6     BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q7     BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q8     BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q9     BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q10    BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q11    BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q12    BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q13    BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q14    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q15    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q16    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q17    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q18    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q19    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q20    BSS84               BSS84               SOT23               P-CHANNEL MOS FET                                                                                                                        
Q21    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q22    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q23    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q24    BSS123              BSS123              SOT23               N-CHANNEL MOS FET                                                                                                                        
Q26                        CRYTALMM20SS        MM20SS              CRYSTAL                                                                                                                                  
Q27    MURATA_RESONATOR    MURATA_RESONATOR    MURATA_RESONATOR                                                                                                                                             
R1     3K                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R2                         R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R3                         R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R4     3K                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R5                         R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R6                         R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R7                         R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R8                         R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R9     3K                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R10                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R11                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R12                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R13                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R14                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R15                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R16                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R17                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R18                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R19                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R20                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R21                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R22                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R23                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R24                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R25                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R26                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R27                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R28                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R29                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R30                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R31                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R32                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R33                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R34                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R35                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R36                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R37                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R38                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R39                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R40                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R41                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R42                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R43                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R44                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R45                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R46                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R47                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R48                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R49                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R50                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R51                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R52                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R53                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R54                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R55                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R56                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R57                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R58                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R59                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R60                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R61                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R62                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R63                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R64                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R65                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R66                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R67                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R68                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R69                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R70                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R71                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R72                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R73                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R74                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R75                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R76                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R77                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R78                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R79                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R80                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R81                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R82                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R83                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R84                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R85                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R86                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R87                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R88                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R89                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R90                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R91                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R92                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R93                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R94                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R95                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R96                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R97                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R98                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R99                        R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R100                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R101                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R102                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R103                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R104   0R                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R105                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R106                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R107                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R108                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R109                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R110                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R111                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R112                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R113                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R114   0R                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R115   0R                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R116   0R                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R117                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R118                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R119                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R120                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R121                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R122                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R123                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R124                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R125                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R126   3K                  R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R127                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R128                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R129   2k2                 R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R130                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R131                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R132                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R133                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R134                       R-EU_R1206W         R1206W              RESISTOR, European symbol                                                                                                                
R135   2k2                 R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R136   2k2                 R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R137   2k2                 R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R138                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R139                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R140                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R141                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R142                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R143                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R144                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R145                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
R146                       R-EU_R0805W         R0805W              RESISTOR, European symbol                                                                                                                
SV1                        L02P                L02P                AMP MT CONNECTOR                                                                                                                         
SV2                        L04P                L04P                AMP MT CONNECTOR                                                                                                                         
SV3                        MA03-2              MA03-2              PIN HEADER                                                                                                                               
SV4                        MA03-2              MA03-2              PIN HEADER                                                                                                                               
T1     FET_IRLU014         FET_IRLU014         TO-251                                                                                                                                                       
T2     FET_IRLU014         FET_IRLU014         TO-251                                                                                                                                                       
T3                         NPNSOT23            SOT-23              NPN TRANSISTOR                                                                                                                           
T4                         PMOSSOT223          SOT223              MOS FET                                                                                                                                  
T5     IRF7422             IRF7422             SO8                                                                                                                                                          
U$10   IRF7103             IRF7103             SO8-2               HEXFET® Power MOSFET                                                                                                                     
U$22   IRF7103             IRF7103             SO8-2               HEXFET® Power MOSFET                                                                                                                     
U$23   IRF7103             IRF7103             SO8-2               HEXFET® Power MOSFET                                                                                                                     
U2     ATMEGA8_TQFP        ATMEGA8_TQFP        TQFP-32             IC AVR MCU 8K LV 8MHZ IND 32TQFP , Atmel Part number ATMEGA8L-8AI                                                                        
X1                         90-2                90-2                WEIDMUELLER CLAMP CONNECTOR                                                                                                              
